Year,Month,Day,Time,ARRESTAGENCY,Charge_Desc,MINUCRCODE,MINCHARGECODE,MAIN_CRIMECODE,GDISTRICT,BRICArrestCode,GREPORTING,,,,,,,,,,,,
2017,1,21,53:00.0,Boston Police Department,Assault & Battery (209A),0802,12314,,C6,08xx,913,,,,,,,,,,,,
2017,1,21,55:00.0,Boston Police Department,Assault & Battery (209A),0802,12314,,B2,08xx,182,,,,,,,,,,,,
2017,1,21,01:00.0,Boston Police Department,Violation of an Existing Restraining Order,3125,12312,,B2,Arrest,325,,,,,,,,,,,,
2017,1,21,55:00.0,Boston Police Department,"Assault & Battery, Dangerous Weapon (209A)",0403,12315,,C11,04xx,336,,,,,,,,,,,,
2017,1,21,00:00.0,Boston Police Department,Assault & Battery (209A),0802,12314,,B2,08xx,326,,,,,,,,,,,,
2017,1,21,26:00.0,Boston Police Department,Assault & Battery (209A),0802,12314,,E18,08xx,484,,,,,,,,,,,,
2017,1,21,27:00.0,Boston Police Department,"Assault & Battery, Dangerous Weapon (209A)",0403,12315,,C11,04xx,352,,,,,,,,,,,,
2017,1,21,16:00.0,Boston Police Department,Assault & Battery (209A),0802,12314,,A7,08xx,012,,,,,,,,,,,,
2017,1,21,14:00.0,Boston Police Department,Assault & Battery (209A) Felony Section,0404,12711,,A15,04xx,038,,,,,,,,,,,,
2017,1,22,17:00.0,Boston Police Department,Assault & Battery (209A),0802,12314,,B2,08xx,324,,,,,,,,,,,,
2017,1,22,45:00.0,Boston Police Department,Assault & Battery (209A),0802,12314,,A7,08xx,028,,,,,,,,,,,,
2017,1,22,06:00.0,Boston Police Department,Violation of an Existing Restraining Order,3125,12312,,D4,Arrest,,,,,,,,,,,,,
2017,1,22,52:00.0,Boston Police Department,Assault & Battery (209A),0802,12314,,B2,08xx,282,,,,,,,,,,,,
2017,1,22,05:00.0,Boston Police Department,Assault & Battery (209A),0802,12314,,C11,08xx,250,,,,,,,,,,,,
2017,1,23,57:00.0,Boston Police Department,Assault & Battery (209A),0802,12314,,B3,08xx,943,,,,,,,,,,,,
2017,1,23,58:00.0,Boston Police Department,Assault & Battery (209A),0404,12314,,B2,04xx,288,,,,,,,,,,,,
2017,1,23,45:00.0,Boston Police Department,Assault & Battery (209A),0802,12314,,B2,08xx,585,,,,,,,,,,,,
2017,1,23,07:00.0,Boston Police Department,Assault & Battery (209A),0802,12314,,B2,08xx,238,,,,,,,,,,,,
2017,1,23,10:00.0,Boston Police Department,Assault & Battery (209A),0623,12314,,A1,06xx,117,,,,,,,,,,,,
2017,1,23,22:00.0,Boston Police Department,Violation of an Existing Restraining Order,3125,12312,,E18,Arrest,519,,,,,,,,,,,,
2017,1,23,04:00.0,Boston Police Department,Violation of an Existing Restraining Order,1864,12312,DARR,E13,18xx,568,,,,,,,,,,,,
2017,1,24,37:00.0,Boston Police Department,Assault & Battery (209A),0802,12314,,B3,08xx,,,,,,,,,,,,,
2017,1,24,42:00.0,Boston Police Department,Assault & Battery (209A),0403,12314,,B3,04xx,424,,,,,,,,,,,,
2017,1,24,43:00.0,Boston Police Department,Violation of an Existing Restraining Order,3125,12312,,D4,Arrest,627,,,,,,,,,,,,
2017,1,25,37:00.0,Boston Police Department,Assault & Battery (209A),0802,12314,,B3,08xx,434,,,,,,,,,,,,
2017,1,25,03:00.0,Boston Police Department,Assault & Battery (209A),0802,12314,,E18,08xx,481,,,,,,,,,,,,
2017,1,26,51:00.0,Boston Police Department,Threats (209A),2647,12316,,B2,08xx,291,,,,,,,,,,,,
2017,1,26,06:00.0,Boston Police Department,Assault & Battery (209A),0802,12314,,B3,08xx,,,,,,,,,,,,,
2017,1,27,34:00.0,Boston Police Department,Assault & Battery (209A),0802,12314,,C11,08xx,,,,,,,,,,,,,
2017,1,27,05:00.0,Boston Police Department,Assault & Battery (209A),0802,12314,,C11,08xx,340,,,,,,,,,,,,
2017,1,27,30:00.0,Boston Police Department,Assault & Battery (209A),0802,12314,,B3,08xx,464,,,,,,,,,,,,
2017,1,27,57:00.0,Boston Police Department,"Assault & Battery, Dangerous Weapon (209A)",0403,12315,,E5,04xx,822,,,,,,,,,,,,
2017,1,27,43:00.0,Boston Police Department,Assault & Battery (209A),0611,12314,,C11,06xx,336,,,,,,,,,,,,
2017,1,28,34:00.0,Boston Police Department,Assault & Battery (209A),0802,12314,,C11,08xx,,,,,,,,,,,,,
2017,1,28,35:00.0,Boston Police Department,Assault & Battery (209A),0802,12314,,C6,08xx,205,,,,,,,,,,,,
2017,1,28,03:00.0,Boston Police Department,Assault & Battery (209A),0802,12314,,B3,08xx,435,,,,,,,,,,,,
2017,1,28,16:00.0,Boston Police Department,Violation of an Existing Restraining Order,3125,12312,,B3,Arrest,465,,,,,,,,,,,,
2017,1,28,47:00.0,Boston Police Department,Assault & Battery (209A),0802,12314,,B2,08xx,318,,,,,,,,,,,,
2017,1,29,41:00.0,Boston Police Department,Threats (209A),2405,12316,,B2,24xx,287,,,,,,,,,,,,
2017,1,29,38:00.0,Boston Police Department,Assault & Battery (209A),0802,12314,,A1,08xx,117,,,,,,,,,,,,
2017,1,30,08:00.0,Boston Police Department,Assault & Battery (209A),0802,12314,,A1,08xx,173,,,,,,,,,,,,
2017,1,30,35:00.0,Boston Police Department,Assault & Battery (209A),0802,12314,,C11,08xx,344,,,,,,,,,,,,
